Date,Close,Volume
2013-01-02,19.96,0
2013-01-03,19.92,0
2013-01-04,19.38,0
2013-01-07,19.73,0
2013-01-08,19.64,0
2013-01-09,19.11,0
2013-01-10,19.02,0
2013-01-11,19.32,0
2013-01-14,18.66,0
2013-01-15,18.43,0
2013-01-16,18.96,0
2013-01-17,18.62,0
2013-01-18,17.48,0
2013-01-22,17.73,0
2013-01-23,17.72,0
2013-01-24,18.39,0
2013-01-25,18.36,0
2013-01-28,19.62,0
2013-01-29,19.5,0
2013-01-30,20.1,0
2013-01-31,19.71,0
2013-02-01,18.86,0
2013-02-04,20.39,0
2013-02-05,19.65,0
2013-02-06,19.52,0
2013-02-07,19.67,0
2013-02-08,19.01,0
2013-02-11,18.3,0
2013-02-12,17.71,0
2013-02-13,17.46,0
2013-02-14,17.46,0
2013-02-15,16.91,0
2013-02-19,16.67,0
2013-02-20,18.14,0
2013-02-21,19.39,0
2013-02-22,19.31,0
2013-02-25,21.13,0
2013-02-26,20.36,0
2013-02-27,18.87,0
2013-02-28,18.71,0
2013-03-01,19.04,0
2013-03-04,19.27,0
2013-03-05,18.72,0
2013-03-06,18.29,0
2013-03-07,18.0,0
2013-03-08,17.45,0
2013-03-11,17.35,0
2013-03-12,17.31,0
2013-03-13,18.36,0
2013-03-14,18.37,0
2013-03-15,17.74,0
2013-03-18,19.29,0
2013-03-19,20.35,0
2013-03-20,20.14,0
2013-03-21,21.65,0
2013-03-22,21.76,0
2013-03-25,20.51,0
2013-03-26,19.28,0
2013-03-27,18.5,0
2013-03-28,18.01,0
2013-04-01,19.17,0
2013-04-02,19.07,0
2013-04-03,19.14,0
2013-04-04,19.51,0
2013-04-05,19.65,0
2013-04-08,19.6,0
2013-04-09,19.1,0
2013-04-10,19.42,0
2013-04-11,19.5,0
2013-04-12,19.73,0
2013-04-15,23.61,0
2013-04-16,21.54,0
2013-04-17,24.04,0
2013-04-18,24.16,0
2013-04-19,22.28,0
2013-04-22,22.18,0
2013-04-23,21.35,0
2013-04-24,20.77,0
2013-04-25,20.37,0
2013-04-26,21.24,0
2013-04-29,20.41,0
2013-04-30,20.02,0
2013-05-01,20.98,0
2013-05-02,20.74,0
2013-05-03,20.22,0
2013-05-06,20.09,0
2013-05-07,19.53,0
2013-05-08,19.6,0
2013-05-09,20.06,0
2013-05-10,20.59,0
2013-05-13,20.41,0
2013-05-14,20.21,0
2013-05-15,19.84,0
2013-05-16,19.29,0
2013-05-17,18.06,0
2013-05-20,18.42,0
2013-05-21,18.25,0
2013-05-22,19.85,0
2013-05-23,20.48,0
2013-05-24,20.66,0
2013-05-28,21.24,0
2013-05-29,23.77,0
2013-05-30,23.67,0
2013-05-31,26.78,0
2013-06-03,26.03,0
2013-06-04,26.59,0
2013-06-05,27.95,0
2013-06-06,27.92,0
2013-06-07,28.48,0
2013-06-10,28.04,0
2013-06-11,30.75,0
2013-06-12,32.59,0
2013-06-13,30.87,0
2013-06-14,31.35,0
2013-06-17,33.34,0
2013-06-18,32.67,0
2013-06-19,33.85,0
2013-06-20,40.35,0
2013-06-21,38.47,0
2013-06-24,40.02,0
2013-06-25,37.43,0
2013-06-26,35.14,0
2013-06-27,32.9,0
2013-06-28,32.25,0
2013-07-01,31.52,0
2013-07-02,35.04,0
2013-07-03,35.36,0
2013-07-05,35.3,0
2013-07-08,34.69,0
2013-07-09,32.11,0
2013-07-10,32.06,0
2013-07-11,30.6,0
2013-07-12,31.43,0
2013-07-15,28.89,0
