Date,Close,Volume
2013-01-02,62550.0,3739800
2013-01-03,63312.0,3355800
2013-01-04,62523.0,6233800
2013-01-07,61933.0,3985800
2013-01-08,61128.0,3840600
2013-01-09,61579.0,3236400
2013-01-10,61678.0,4100600
2013-01-11,61497.0,3161000
2013-01-14,62081.0,3481400
2013-01-15,61728.0,3819200
2013-01-16,61787.0,2789200
2013-01-17,62194.0,3382000
2013-01-18,61956.0,3495200
2013-01-21,61900.0,2143400
2013-01-22,61692.0,3475000
2013-01-23,61966.0,3209000
2013-01-24,61170.0,3605200
2013-01-28,60027.0,3426800
2013-01-29,60406.0,3192600
2013-01-30,59337.0,4661200
2013-01-31,59761.0,4749400
2013-02-01,60351.0,3412400
2013-02-04,59576.0,3347800
2013-02-05,59445.0,4429600
2013-02-06,58951.0,4410400
2013-02-07,58372.0,4071600
2013-02-08,58498.0,3152400
2013-02-13,58406.0,2803800
2013-02-14,58077.0,2385200
2013-02-15,57903.0,3519200
2013-02-18,57614.0,2697200
2013-02-19,57314.0,3921000
2013-02-20,56178.0,4950200
2013-02-21,56155.0,4915800
2013-02-22,56697.0,5113800
2013-02-25,56618.0,3965400
2013-02-26,56949.0,4510600
2013-02-27,57274.0,5034000
2013-02-28,57424.0,4441800
2013-03-01,56884.0,3889600
2013-03-04,56499.0,4033800
2013-03-05,55951.0,4261000
2013-03-06,57940.0,5806000
2013-03-07,58847.0,6338200
2013-03-08,58433.0,4129200
2013-03-11,58545.0,4129000
2013-03-12,58209.0,3805000
2013-03-13,57386.0,4536800
2013-03-14,57281.0,4581200
2013-03-15,56869.0,5182400
2013-03-18,56973.0,3741000
2013-03-19,56361.0,3828800
2013-03-20,56030.0,4179200
2013-03-21,55577.0,4368400
2013-03-22,55243.0,3744400
2013-03-25,54873.0,3849400
2013-03-26,55671.0,3755400
2013-03-27,56034.0,4052600
2013-03-28,56352.0,4373800
2013-04-01,55902.0,2755200
2013-04-02,54889.0,3588600
2013-04-03,55563.0,4480400
2013-04-04,54648.0,4574000
2013-04-05,55051.0,5975800
2013-04-08,55092.0,5504200
2013-04-09,55912.0,5186200
2013-04-10,56187.0,5388600
2013-04-11,55401.0,3836800
2013-04-12,54963.0,4805800
2013-04-15,52950.0,4709400
2013-04-16,53991.0,4353800
2013-04-17,52882.0,7413000
2013-04-18,53166.0,4554200
2013-04-19,53929.0,3733000
2013-04-22,54298.0,4174800
2013-04-23,54885.0,5365600
2013-04-24,54984.0,3949800
2013-04-25,54963.0,4347800
2013-04-26,54252.0,4660200
2013-04-29,54887.0,5931200
2013-04-30,55910.0,7138200
2013-05-02,55322.0,5436000
2013-05-03,55488.0,8860800
2013-05-06,55430.0,6452600
2013-05-07,56275.0,6235400
2013-05-08,55805.0,6519800
2013-05-09,55448.0,4799400
2013-05-10,55108.0,5315200
2013-05-13,54448.0,3956400
2013-05-14,54667.0,5094800
2013-05-15,54936.0,4899800
2013-05-16,54773.0,5080200
2013-05-17,55164.0,4067400
2013-05-20,55701.0,4164800
2013-05-21,56265.0,3898600
2013-05-22,56429.0,4872400
2013-05-23,56350.0,4072000
2013-05-24,56406.0,4852600
2013-05-27,56396.0,2051200
2013-05-28,56036.0,4175200
2013-05-29,54635.0,5004200
2013-05-31,53506.0,8790400
2013-06-03,53944.0,4336200
2013-06-04,54018.0,4314600
2013-06-05,52799.0,4630200
2013-06-06,52885.0,4088800
2013-06-07,51619.0,5635400
2013-06-10,51317.0,4689400
2013-06-11,49770.0,5560600
2013-06-12,49181.0,7780000
2013-06-13,50415.0,6228400
2013-06-14,49332.0,5826000
2013-06-17,49089.0,5324600
2013-06-18,49465.0,5977200
2013-06-19,47893.0,6582600
2013-06-20,48214.0,8789400
2013-06-21,47056.0,6416400
2013-06-24,45965.0,6301400
2013-06-25,46893.0,4773600
2013-06-26,47172.0,5636200
2013-06-27,47609.0,5567200
2013-06-28,47457.0,5752800
2013-07-01,47230.0,6658400
2013-07-02,45229.0,8123400
2013-07-03,45044.0,6998800
2013-07-04,45763.0,5100400
2013-07-05,45210.0,6988200
2013-07-08,45076.0,4664000
2013-07-10,45483.0,4867600
2013-07-11,46626.0,5587800
2013-07-12,45533.0,5357200
2013-07-15,46739.0,4842800
2013-07-16,46869.0,4775800
2013-07-17,47407.0,5185000
2013-07-18,47657.0,4285200
2013-07-19,47400.0,3474000
2013-07-22,48574.0,4132000
2013-07-23,48820.0,4579400
2013-07-24,48374.0,5006400
2013-07-25,49067.0,4935600
2013-07-26,49422.0,3997400
2013-07-29,49212.0,3285200
2013-07-30,48562.0,5507600
2013-07-31,48234.0,4944600
2013-08-01,49141.0,4687400
2013-08-02,48474.0,4491200
2013-08-05,48436.0,3743000
2013-08-06,47422.0,5267000
2013-08-07,47447.0,4463400
2013-08-08,48929.0,5221800
2013-08-09,49875.0,6321000
2013-08-12,50299.0,7041200
2013-08-13,50601.0,6511900
2013-08-14,50896.0,11269000
2013-08-15,50908.0,8357400
2013-08-16,51539.0,7402400
2013-08-19,51574.0,6388000
2013-08-20,50507.0,5834400
2013-08-21,50405.0,5993400
2013-08-22,51398.0,5570000
2013-08-23,52197.0,5887800
2013-08-26,51429.0,4283400
2013-08-27,50092.0,5718400
2013-08-28,49867.0,8503400
2013-08-29,49922.0,7991000
2013-08-30,50008.0,14233400
2013-09-02,51835.0,9666200
2013-09-03,51626.0,6887000
2013-09-04,51716.0,5036400
2013-09-05,52352.0,6194200
2013-09-06,53749.0,10524400
2013-09-09,54252.0,7775400
2013-09-10,53979.0,6826400
2013-09-11,53570.0,6817000
2013-09-12,53307.0,6094600
2013-09-13,53798.0,4938600
2013-09-16,53822.0,4775000
2013-09-17,54271.0,4249200
2013-09-18,55703.0,7541000
2013-09-19,55096.0,5134600
2013-09-20,54110.0,4421000
2013-09-23,54602.0,3915400
2013-09-24,54431.0,4296000
2013-09-25,54261.0,3904000
2013-09-26,53783.0,6266400
