Date,Close,Volume
2013-01-02,1462.4200439453125,4202600000
2013-01-03,1459.3699951171875,3829730000
2013-01-04,1466.469970703125,3424290000
2013-01-07,1461.8900146484375,3304970000
2013-01-08,1457.1500244140625,3601600000
2013-01-09,1461.02001953125,3674390000
2013-01-10,1472.1199951171875,4081840000
2013-01-11,1472.050048828125,3340650000
2013-01-14,1470.6800537109375,3003010000
2013-01-15,1472.3399658203125,3135350000
2013-01-16,1472.6300048828125,3384080000
2013-01-17,1480.93994140625,3706710000
2013-01-18,1485.97998046875,3795740000
2013-01-22,1492.56005859375,3570950000
2013-01-23,1494.81005859375,3552010000
2013-01-24,1494.8199462890625,3699430000
2013-01-25,1502.9599609375,3476290000
2013-01-28,1500.1800537109375,3388540000
2013-01-29,1507.8399658203125,3949640000
2013-01-30,1501.9599609375,3726810000
2013-01-31,1498.1099853515625,3999880000
2013-02-01,1513.1700439453125,3836320000
2013-02-04,1495.7099609375,3390000000
2013-02-05,1511.2900390625,3618360000
2013-02-06,1512.1199951171875,3611570000
2013-02-07,1509.3900146484375,3614580000
2013-02-08,1517.9300537109375,2986150000
2013-02-11,1517.010009765625,2684100000
2013-02-12,1519.4300537109375,3414370000
2013-02-13,1520.3299560546875,3385880000
2013-02-14,1521.3800048828125,3759740000
2013-02-15,1519.7900390625,3838510000
2013-02-19,1530.93994140625,3748910000
2013-02-20,1511.949951171875,4240570000
2013-02-21,1502.4200439453125,4274600000
2013-02-22,1515.5999755859375,3419320000
2013-02-25,1487.8499755859375,4011050000
2013-02-26,1496.93994140625,3975280000
2013-02-27,1515.989990234375,3551850000
2013-02-28,1514.6800537109375,3912320000
2013-03-01,1518.199951171875,3695610000
2013-03-04,1525.199951171875,3414430000
2013-03-05,1539.7900390625,3610690000
2013-03-06,1541.4599609375,3676890000
2013-03-07,1544.260009765625,3634710000
2013-03-08,1551.1800537109375,3652260000
2013-03-11,1556.219970703125,3091080000
2013-03-12,1552.47998046875,3274910000
2013-03-13,1554.52001953125,3073830000
2013-03-14,1563.22998046875,3459260000
2013-03-15,1560.699951171875,5175850000
2013-03-18,1552.0999755859375,3164560000
2013-03-19,1548.3399658203125,3796210000
2013-03-20,1558.7099609375,3349090000
2013-03-21,1545.800048828125,3243270000
2013-03-22,1556.8900146484375,2948380000
2013-03-25,1551.68994140625,3178170000
2013-03-26,1563.77001953125,2869260000
2013-03-27,1562.8499755859375,2914210000
2013-03-28,1569.18994140625,3304440000
2013-04-01,1562.1700439453125,2753110000
2013-04-02,1570.25,3312160000
2013-04-03,1553.68994140625,4060610000
2013-04-04,1559.97998046875,3350670000
2013-04-05,1553.280029296875,3515410000
2013-04-08,1563.0699462890625,2887120000
2013-04-09,1568.6099853515625,3252780000
2013-04-10,1587.72998046875,3453350000
2013-04-11,1593.3699951171875,3393950000
2013-04-12,1588.8499755859375,3206290000
2013-04-15,1552.3599853515625,4660130000
2013-04-16,1574.5699462890625,3654700000
2013-04-17,1552.010009765625,4250310000
2013-04-18,1541.6099853515625,3890800000
2013-04-19,1555.25,3569870000
2013-04-22,1562.5,2979880000
2013-04-23,1578.780029296875,3565150000
2013-04-24,1578.7900390625,3598240000
2013-04-25,1585.1600341796875,3908580000
2013-04-26,1582.239990234375,3198620000
2013-04-29,1593.6099853515625,2891200000
2013-04-30,1597.5699462890625,3745070000
2013-05-01,1582.699951171875,3530320000
2013-05-02,1597.5899658203125,3366950000
2013-05-03,1614.4200439453125,3603910000
2013-05-06,1617.5,3062240000
2013-05-07,1625.9599609375,3309580000
2013-05-08,1632.68994140625,3554700000
2013-05-09,1626.6700439453125,3457400000
2013-05-10,1633.699951171875,3086470000
2013-05-13,1633.77001953125,2910600000
2013-05-14,1650.3399658203125,3457790000
2013-05-15,1658.780029296875,3657440000
2013-05-16,1650.469970703125,3513130000
2013-05-17,1667.469970703125,3440710000
2013-05-20,1666.2900390625,3275080000
2013-05-21,1669.1600341796875,3513560000
2013-05-22,1655.3499755859375,4361020000
2013-05-23,1650.510009765625,3945510000
